Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
Amelia,/Users/hamedbh/Library/R/3.x/library,1.7.4,NA,"R (>= 3.0.2), Rcpp (>= 0.11)","foreign, utils, grDevices, graphics, methods, stats","Rcpp (>= 0.11), RcppArmadillo","tcltk, Zelig",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.2
AnnotationDbi,/Users/hamedbh/Library/R/3.x/library,1.36.2,NA,"R (>= 2.7.0), methods, utils, stats4, BiocGenerics (>=
0.15.10), Biobase (>= 1.17.0), IRanges","methods, utils, DBI, RSQLite, stats4, BiocGenerics, Biobase,
S4Vectors (>= 0.9.25), IRanges",NA,"DBI (>= 0.2-4), RSQLite (>= 0.6-4), hgu95av2.db, GO.db,
org.Sc.sgd.db, org.At.tair.db, KEGG.db, RUnit,
TxDb.Hsapiens.UCSC.hg19.knownGene, hom.Hs.inp.db, org.Hs.eg.db,
reactome.db, AnnotationForge, graph, EnsDb.Hsapiens.v75,
BiocStyle, knitr",NA,Artistic-2.0,NA,NA,NA,NA,no,3.4.2
BBmisc,/Users/hamedbh/Library/R/3.x/library,1.11,NA,NA,"utils, methods, stats, checkmate (>= 1.8.0)",NA,"testthat, microbenchmark, codetools",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,3.4.2
BH,/usr/local/lib/R/site-library,1.60.0-2,NA,NA,NA,NA,NA,NA,BSL-1.0,NA,NA,NA,NA,no,3.3.0
Biobase,/Users/hamedbh/Library/R/3.x/library,2.34.0,NA,"R (>= 2.10), BiocGenerics (>= 0.3.2), utils",methods,NA,"tools, tkWidgets, ALL, RUnit, golubEsets",NA,Artistic-2.0,NA,NA,NA,NA,yes,3.4.2
BiocGenerics,/Users/hamedbh/Library/R/3.x/library,0.20.0,NA,"methods, utils, graphics, stats, parallel","methods, utils, graphics, stats, parallel",NA,"Biobase, S4Vectors, IRanges, GenomicRanges, AnnotationDbi,
oligoClasses, oligo, affyPLM, flowClust, affy, DESeq2, MSnbase,
annotate, RUnit",NA,Artistic-2.0,NA,NA,NA,NA,no,3.4.2
BiocInstaller,/Users/hamedbh/Library/R/3.x/library,1.24.0,NA,R (>= 3.3.0),NA,NA,"devtools, RUnit, BiocGenerics",NA,Artistic-2.0,NA,NA,NA,NA,no,3.4.2
Boom,/Users/hamedbh/Library/R/3.x/library,0.7,NA,"MASS, R(>= 3.1.0)",NA,BH (>= 1.15.0-2),NA,NA,LGPL-2.1 | file LICENSE,NA,NA,NA,NA,yes,3.4.2
BoomSpikeSlab,/Users/hamedbh/Library/R/3.x/library,0.9.0,NA,"Boom (>= 0.7) , R (>= 3.1.0)",NA,BH (>= 1.15.0-2),MASS,NA,LGPL-2.1 | file LICENSE,NA,NA,NA,NA,yes,3.4.2
CVST,/Users/hamedbh/Library/R/3.x/library,0.2-1,NA,"kernlab,Matrix",NA,NA,NA,NA,GPL (>= 2.0),NA,NA,NA,NA,no,3.4.2
DBI,/usr/lib/R/site-library,0.3.1,NA,"R (>= 2.15.0), methods",NA,NA,"testthat, RSQLite",NA,LGPL (>= 2),NA,NA,NA,NA,no,3.1.1
DEoptimR,/Users/hamedbh/Library/R/3.x/library,1.0-8,NA,NA,stats,NA,NA,robustbase,GPL (>= 2),NA,NA,NA,NA,no,3.4.2
DRR,/Users/hamedbh/Library/R/3.x/library,0.0.2,NA,"kernlab, CVST, Matrix","stats, methods",NA,knitr,NA,GPL-3,NA,NA,NA,NA,no,3.4.2
DT,/Users/hamedbh/Library/R/3.x/library,0.2,NA,NA,"htmltools (>= 0.3.5), htmlwidgets (>= 0.6), magrittr",NA,"jsonlite (>= 0.9.16), knitr (>= 1.8), rmarkdown, shiny (>=
0.12.1)",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,3.3.2
FNN,/Users/hamedbh/Library/R/3.x/library,1.1,NA,R (>= 2.8.0),NA,NA,"chemometrics, mvtnorm",NA,GPL (>= 2.1),NA,NA,NA,NA,yes,3.3.0
Formula,/Users/hamedbh/Library/R/3.x/library,1.2-2,NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.4.1
HIBPwned,/Users/hamedbh/Library/R/3.x/library,0.1.6,NA,R (>= 3.2.3),"httr, urltools, jsonlite, ratelimitr",NA,"testthat, knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.1
